Record_Type,Original_Entry,Year,05/01,12/01,19/01,26/01,02/02,09/02,16/02,23/02,01/03,08/03,15/03,22/03,29/03,05/04,12/04,19/04,26/04,03/05,10/05,17/05,24/05,31/05,07/06,14/06,21/06,28/06,04/07,NA,NA,NA,NA,NA,NA,NA,NA,06/09,13/09,20/09,27/09,04/10,11/10,18/10,25/10,01/11,08/11,15/11,22/11,29/11,6/12,13/12,20/12,27/12,Notes
Species,Moorhen,1992,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,NA,NA,NA,NA,NA,NA,NA,NA,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Oystercatcher,1992,A,A,A,A,NA,A,A,A,A,A,A,A,C,A,C,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Golden Plover,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Lapwing,1992,,,,O,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Snipe,1992,,,,O,NA,,,,,,,,,,O,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Jack Snipe,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Curlew,1992,F,F9,F3,F2,NA,U,2F30,A,A,F,F12,O,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,C,F,O,U,F,U,U,,
Species,Redshank,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Black-Headed Gull,1992,A,A,A,A,NA,A,A,A,A,A,A,C,C,,,,,,,,,,,,,U,U,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Common Gull,1992,U,U,F,C,NA,O,U,U,,,O,,U,,U,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,U,,,U,O,U,U,U,U,,U,,
Species,Lesser B-B Gull,1992,,,,,NA,O,,,,,,,,U,O,,,,,O,,,,,,,O,NA,NA,NA,NA,NA,NA,NA,NA,,,,O,,,,,,,O,,,,,,,
Species,Herring Gull,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Greater B-B Gull,1992,U,,,2,NA,,,,,,,,O,F,O,,,,U,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,O,,,,O,,U,F,F,U,F,,
Species,Rock Dove,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,O,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Town Pigeon,1992,,,,U,NA,,,,,,,,U,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,C,,,,,,,,,,,,,,,,,
Species,Stock Dove,1992,F25,A,A,A,NA,A*,A,A,A,A,A,A,A,A,A,A,C,C,A,A,C,C,C,C,C,C,O,NA,NA,NA,NA,NA,NA,NA,NA,O,,U,U,U,U,,O,U,,U,O,O,U,U,U,F,"*""F80"""
Species,Wood Pigeon,1992,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Collared Dove,1992,,,,,NA,,,O,,,,,,,,,,,2,,,,,,,2,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
