Record_Type,Original_Entry,Year,NA,13/01,20/01,27/01,03/02,10/02,17/02,24/02,03/03,10/03,17/03,24/03,31/03,07/04,14/04,21/04,28/04,05/05,12/05,19/05,26/05,02/06,09/06,16/06,23/06,30/06,07/07,14/07,21/07,28/07,04/08,11/08,18/08,NA,NA,08/09,15/09,22/09,29/09,06/10,13/10,20/10,27/10,03/11,10/11,17/11,24/11,01/12,08/12,15/12,22/12,29/12,Notes
Species,Lapwing,1991,NA,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,2,,,
Species,Snipe,1991,NA,U,,O,,,,,2,,,,O,,O,,O,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,O,,,O,O,,O,,,,
Species,Jack Snipe,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Curlew,1991,NA,F8,F,F,F,F,C,F2 F40,A,A,A,,,,,,,,,,,,,,,F4,,,,,,,,NA,NA,,,,,F12,,F4,U,U,,U,F,C,U,,F12,F,
Species,Redshank,1991,NA,,O,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Black-Headed Gull,1991,NA,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,O,,,O,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Common Gull,1991,NA,U,O,,U,F,,O,,F5,O,F15,,,,,,,,,,,,,,,,,,,,,U,NA,NA,,,U,,U,,,,,U,U,U,U,O,U,F,U,
Species,Lesser B-B Gull,1991,NA,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,O,,,,,,,,,O,
Species,Herring Gull,1991,NA,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,A,A,NA,NA,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,
Species,Greater B-B Gull,1991,NA,U,U,O,,O,,,,O,,O,,,O,,,,,,,O,,,O,,,,,,O,,,NA,NA,,,,,,,,,,,,O,O,,,,C,
Species,Rock Dove,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Town Pigeon,1991,NA,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,NA,NA,U,,,,,,O,,,U,U,,,,,,,
Species,Stock Dove,1991,NA,F20,U,F6,F10,A,C,C,U,U,U,F,F,F,,F,U,,,O,U,U,O,C,C,U,U,U,,U,U,U,F,NA,NA,F,,,,,,,,,,U,,,,,,,
Species,Wood Pigeon,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Collared Dove,1991,NA,,,,,,,,,,,,,,,,O,,O,,,,,,,F3,O,U,,,,,,NA,NA,,,,,,,,,O,,,,,,,,,
Species,Turtle Dove,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Long-Eared Owl,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Swift,1991,NA,,,,,,,,,,,,,,,,,,,C,A,A,A,A,A,A,A,A,,A,A,A,O,NA,NA,,,,,,,,,,,,,,,,,,
Species,Kingfisher,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Skylark,1991,NA,F26,F6,O,,C,F15,O,,O,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,O,,O,3,2,
Species,Sand Martin,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
