Record_Type,Original_Entry,Year,01/01,08/01,15/01,22/01,29/01,05/02,12/02,19/02,26/02,05/03,12/03,19/03,26/03,02/04,09/04,16/04,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,25/06,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/09,09/09,16/09,23/09,30/09,07/10,15/10,22/10,29/10,NA,11/11,18/11,25/11,02/12,09/12,16/12,NA,Notes
Species,Wren,1983,U,C,C,C,C,U,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,,C,C,C,C,C,NA,C,C,C,C,C,C,NA,
Species,Mistle Thrush,1983,C,C,C,C,C,C,C,C,C,C,U,C,U,,,F,U,C,U,U,,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,U,U,F,C,C,NA,C,C,C,C,C,C,NA,
Species,Fieldfare,1983,U,U,,,,,O,,,,U,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Song Thrush,1983,C,C,C,C,F,F,F,F,F,F,F,F,F,F,,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,F,F,F,C,C,C,C,NA,C,C,C,C,C,C,NA,
Species,Redwing,1983,C,A,A,A,,A,A,A,A,F20,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,C,,,,O,NA,
Species,Blackbird,1983,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Stonechat,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Robin,1983,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Blackcap,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,O,,NA,
Species,Willow Warbler,1983,,,,,,,,,,,,,,,,U2,O,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,,,,,,NA,,,,,,,NA,
Species,Chiff Chaff,1983,,,,,,O*,,,,,,,,,,,O,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Goldcrest,1983,O,,,,O,U,U,U,,O,O,C,C,C,C,,O,O,U,O,,,O,,,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,,U,U,C,C,C,C,C,C,NA,C,C,C,C,C,C,NA,
Species,Flycatcher,1983,,,,,,,,,,,,,,,,,,,,,,,O,,O,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,O,,,,,,,NA,,,,,,,NA,
Species,Dunnock,1983,C,C,C,C,C,C,C,C,C,C,C,U,U,C,C,C,C,C,U,U,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,F,,F,F,F,F,C,NA,C,C,C,F,C,C,NA,
Species,Meadow Pipit,1983,,,,,U,,,,,,,,,O,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,O,U,C,U,U,,NA,
Species,Pied Wagtail,1983,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,A,C,A*,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Grey Wagtail,1983,,,U,U,F,U,U,U,U,U,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,,U,U,U,U,U,F,F,NA,,O,,,,,NA,
Species,Starling,1983,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Greenfinch,1983,C,U,C,A,C,C,U,C,A,A,F,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,F,C,C,U,U,U,C,C,NA,C,C,F,C,F,F,NA,
Species,Goldfinch,1983,,,,,,,,,,,,U,U,,,,O,U2,O,,U3,O,,,,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,F6,C,,,,,,,NA,,,,,,,NA,
Species,Siskin,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Linnet,1983,,F40,,,F12,F30,C,,F60,F20,F20,F30,F10,,,U,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,C,,,F10,NA,F10,C,F,F,C,U,NA,
Species,Redpoll,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Bullfinch,1983,,,O,U,U,,O,,O,,,F,,,F,,,U4,F,F,F,F,,O,O,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,U,C,C,C,C,C,NA,U,,,U,C,,NA,
Species,Crossbill,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Chaffinch,1983,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,A,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,C,C,C,C,C,C,C,C,NA,C,A,A,A,C,C,NA,
Species,Brambling,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Yellow Bunting,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Reed Bunting,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,House Sparrow,1983,,,,U,,,,,,U,,U,O,U,U,,6R,U2,U4,U2,U,O,U,O,U3,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,F,,NA,,,,,,,NA,
Species,Tree Sparrow,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Twite,1983,,,,,,O,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Cormorant,1983,,,,,,,,,,,,,,,,,,,,,,,O,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Wheatear,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,,,,,,NA,,,,,,,NA,
