Record_Type,Original_Entry,Year,NA,09/01,16/01,23/01,30/01,06/02,13/02,20/02,27/02,06/03,13/03,20/03,27/03,03/04,NA,NA,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,24/06,01/07,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/09,18/09,25/09,01/10,08/10,15/10,23/10,30/10,06/11,13/11,20/11,27/11,04/12,11/12,18/12,25/12,Notes
Species,Long-Tailed Tit,1982,NA,,,,,,1FR,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Tree Creeper,1982,NA,,O,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,,,O,,,,,,,,,,
Species,Wren,1982,NA,F,F,U,C,F,C,C,A,A,C,C,U,A,NA,NA,A,A,A,C,C,C,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,C,C,,C,C,C,F,F,F,C,F,C,C,C,U,
Species,Mistle Thrush,1982,NA,C,C,C,C,C,C,C,C,C,C,C,,C,NA,NA,U,C,C,C,C,F,C,C,C,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Fieldfare,1982,NA,A,A,A,A,A,U,A,C,F,C,C,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,U4,U,,
Species,Song Thrush,1982,NA,C,C,C,C,C,C,C,C,C,C,C,,F,NA,NA,C,C,C,C,C,C,C,C,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,C,C,C,F,F,F,,,C,C,C,C,C,C,
Species,Redwing,1982,NA,C,C,A,A,A,A,A,A,A,A,A,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,U3,O,F,C,C,C,C,
Species,Blackbird,1982,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stonechat,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,O,,,,,,,,,,
Species,Robin,1982,NA,C,C,A,C,C,A,A,A,C,C,A,A,A,NA,NA,A,A,A,C,A,C,C,A,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Blackcap,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,O,,,,,,,,,,
Species,Willow Warbler,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Chiff Chaff,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,O,O,,,,,,,,,,,,,,
Species,Goldcrest,1982,NA,,U,,,,,O,O,,,,,,NA,NA,O,,U2,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,U,U,U,O,,O,,F15,,,U,U,,,
Species,Flycatcher,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,O,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,,,,,,,,,,,,,,,,
Species,Dunnock,1982,NA,C,C,C,C,F,C,F,C,C,C,C,,F,NA,NA,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Meadow Pipit,1982,NA,,,,,,,,,O,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,F4,F,,,,,,O2,R2,R2,,,
Species,Pied Wagtail,1982,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,C,C,U,U,U,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Grey Wagtail,1982,NA,O,,,,,,O,U,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,U,F,,F,U,O,,,,O,U,O,,O,,
Species,Starling,1982,NA,A,C,A,A,A,A,A,A,A,A,A,A,C,NA,NA,A,A,A,A,A,A,A,A,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Greenfinch,1982,NA,F,C,,,,U,C,C,F,F,C,C,A,NA,NA,A,C,A,A,C,C,C,U,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,,F,U,U,U,U,C,C,U,C,C,,U,
Species,Goldfinch,1982,NA,U,C,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,,,,,,,,,,,,,,,,
Species,Siskin,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Linnet,1982,NA,,C,,,,1F8,,,1F1,10A,1R,,F6,NA,NA,U,,,,U,U,O,,,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,F10,,F,,,U,C,C,F25,F10,F15,,F60,
Species,Redpoll,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Bullfinch,1982,NA,,,,,,O,O,,O,U,,,,NA,NA,U,,,O,,O,,,U,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,,U,,O,,F,C,,U3,C,,U,U,,U,
Species,Crossbill,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Chaffinch,1982,NA,C,C,C,C,C,C,C,A,A,A,C,,C,NA,NA,A,C,C,C,C,C,C,C,C,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,U,F,F,C,C,C,A,A,A,A,
Species,Brambling,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Yellow Bunting,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,House Sparrow,1982,NA,,,,,,,,,,,,,,NA,NA,3,,,,C,,6,,C,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,U,,O,,,,,U,U3,,O,O,,,,
Species,Tree Sparrow,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Redshank,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,O,,
Species,Twite,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Cormorant,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Wheatear,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
