Record_Type,Original_Entry,Year,NA,NA,NA,NA,NA,NA,17/02,24/02,04/03,NA,18/03,25/03,01/04,NA,15/04,NA,NA,NA,NA,NA,27/05,03/06,10/06,17/06,NA,01/07,08/07,15/07,NA,NA,NA,NA,NA,NA,NA,NA,16/09,23/09,30/09,07/10,NA,NA,NA,04/11,11/11,18/11,25/11,02/12,09/12,NA,NA,NA,Notes
Species,Kingfisher,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Skylark,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Sand Martin,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Swallow,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,,8X2,NA,NA,NA,,,,,,,NA,NA,NA,
Species,House Martin,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,,A,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Meadow Pipit,1995,NA,NA,NA,NA,NA,NA,U,,U,NA,,O,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,U,F5,NA,NA,NA,C,C,A,A,A,A,NA,NA,NA,
Species,Grey Wagtail,1995,NA,NA,NA,NA,NA,NA,1R,1R,1R,NA,1R,2R,2R,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,F,F,C,C,NA,NA,NA,C,C,C,C,F,,NA,NA,NA,
Species,Pied Wagtail,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Waxwing,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Wren,1995,NA,NA,NA,NA,NA,NA,C,C,C,NA,C,C,C,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
