Record_Type,Original_Entry,Year,05/01,12/01,19/01,26/01,02/02,09/02,16/02,23/02,02/03,09/03,16/03,23/03,30/03,NA,14/04,21/04,28/04,05/05,12/05,19/05,26/05,02/06,09/06,16/06,23/06,30/06,NA,NA,NA,NA,03/08,10/08,17/08,24/08,31/08,07/09,14/09,21/09,28/09,06/10,13/10,20/10,27/10,03/11,10/11,17/11,24/11,31/11,07/12,14/12,21/12,28/12,Notes
Species,Starling,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Greenfinch,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,C,C,C,C,F,F30R,F50R,A,A,A,C,C,A,A,F20R,F12,F12R,C,C,C,C,C,
Species,Goldfinch,1985,U,,U,C,U,,,O,,O,U,,O,NA,,U,,U,U,,,,,,,U,NA,NA,NA,NA,C,C,,,C,C,C,C,C,U,,,O,,O,U,O,O,O,O,U,F4,
Species,Siskin,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,3*,
Species,Linnet,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,,,F8,2,U,,,U,,,,,NA,NA,NA,NA,,F5,U2,,C,,,,,,,,,O,O,C,F20,A,A,F,F,F15,
Species,Redpoll,1985,5,,,5,,O,F,F,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,3,,,,F8,U,U,
Species,Bullfinch,1985,F,C,C,F,U,,O,F,U,,U,,F,NA,U,U,F,F,C,U,O,O,O,O,,,NA,NA,NA,NA,C,U,U,,,U,C,O,F,U,C,C,C,C,U,U,,F,,C,U,U,
Species,Crossbill,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Chaffinch,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,C,A,C,C,A,A,A,A,C,A,A,C,NA,NA,NA,NA,,U,,O,F,F,C,C,C,C,C,C,F,C,F,F,C,C,C,C,C,C,
Species,Brambling,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Yellow Bunting,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,House Sparrow,1985,,U,U,U,F,F,,,3,2,F,,O,NA,O,F,U,O,U,U,F,O,O,O,O,U,NA,NA,NA,NA,U,,,,,,,,U,,O,O,,,,O,,,U,O,,,
Species,Tree Sparrow,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Wheatear,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,O*,,,,,,,,,,,,,,,,,,,,
Species,Tufted Duck,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Whitethroat,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
