Record_Type,Original_Entry,Year,07/01,14/01,21/01,28/01,04/02,11/02,18/02,25/02,04/03,11/03,18/03,25/03,01/04,08/04,15/04,22/04,29/04,06/05,13/05,20/05,27/05,03/06,10/06,17/06,24/06,01/07,08/07,15/07,22/07,29/07,NA,NA,NA,26/08,02/09,09/09,16/09,23/09,30/09,07/10,14/10,21/10,28/10,04/11,11/11,18/11,25/11,02/12,09/12,16/12,23/12,30/12,Notes
Species,Water Rail,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Lapwing,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,2,,,,,,
Species,Golden Plover,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Snipe,1990,O,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,F11,,O,U,U,,O,U,C,F,
Species,Jack Snipe,1990,,,,,O,,O,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,O,,,,,,,
Species,Curlew,1990,U,U,U,U,F,F65 F35,A F80,A,A,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,4,,O,,,F,A,C,U,U,,U,2,,F,F,F,F,F12,
Species,Redshank,1990,,,,O,O,O,U,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Oystercatcher,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,3,2,O,,,,,,O,U,,,,,NA,NA,NA,4*,O,F,O,,F,C,A,A,A,A,A,A,A,A,A,A,A,F200,
Species,Herring Gull,1990,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Lesser B-B Gull,1990,,,,,O,,,,,,,O,,,,,,,,,,,,,,,,,2,,NA,NA,NA,,,,,,,O,,,O,,,,,,,,,,
Species,Greater B-B Gull,1990,,,,O,,,O,O,O,O,O,,,,2,,,,3,,,O,,,,,,,,,NA,NA,NA,,,,,,,,,O,U,,,,3,,O,O,,U,
Species,Common Gull,1990,4,O,,F,U,U,,,,O,,,,,,,,,,,,,,,O,,,,,2,NA,NA,NA,3,,,,F,F,F,U,O,,,U,F,,O,F8,F6,U,F6,
Species,Black-Headed Gull,1990,A,A,A,A,A,A,A,A,A,A,A,U,,,,,,,,,,,F2 F8,,A,F,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Town Pigeon,1990,U,,U,U,U,,,,,,U,U,U,U,U,U,U,U,U,U,,U,U,U,U,U,U,U,U,U,NA,NA,NA,U,U,,,F,,,,U,U,,U,U,,U,,,,,
Species,Stock Dove,1990,U,C,C*,R F30,A,A,C,O,A,F12,C,C,U,U,U,U,U,C,C,C,A,A,C,C,C,C,C,C,C,,NA,NA,NA,C,C,U,F,,,,,,,,F,O,,,O,U,U,,
Species,Wood Pigeon,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Collared Dove,1990,,,,,,,,,,,,,,,,,2,,4,,,O,,O,,O,,,,,NA,NA,NA,,,,,,,,,,,,O,,,,,,,,
Species,Turtle Dove,1990,,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Cuckoo,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Long-Eared Owl,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Swift,1990,,,,,,,,,,,,,,,,,,2*,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Kingfisher,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Skylark,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,3,,,,,O,,,,,
Species,Meadow Pipit,1990,C,C,C,C,A,A,A,C,C,C,U,U,U,C,C,F,O,U,U,,,,,,,,,,,,NA,NA,NA,,,,,U,A,A,A,A,A,C,A,C,C,C,A,A,A,A,
Species,Grey Wagtail,1990,,,O,U,U,U,F,O,,,O,,,,,,,,,,,,,U,,,,O,2,,NA,NA,NA,,,,U,U,U,1R,,1R,1R,1R,1R,1R,1R,1R,,U,U,,
Species,Pied Wagtail,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,,,,O,C,A,A,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Swallow,1990,,,,,,,,,,,,,,,,,7*,C,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,C,O,F,F50,F3,O*,O*,,,,,,,,,,,
Species,House Martin,1990,,,,,,,,,,,,,,,,,,F6*,C,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,C,,,,,,,,,,,,,,,,,
Species,Wren,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
