Record_Type,Original_Entry,Year,03/01,10/01,17/01,24/01,31/01,07/02,14/02,21/02,28/02,06/03,13/03,20/03,27/03,03/04,10/04,17/04,24/04,01/05,08/05,15/05,22/05,29/05,05/06,11/06,18/06,25/06,03/07,24/07,31/07,07/08,14/08,21/08,28/08,04/09,11/09,18/09,25/09,02/10,09/10,16/10,23/10,30/10,06/11,13/11,20/11,27/11,04/12,11/12,18/12,25/12,Notes
Species,GOLDCREST,1988,,,O,O,,,,,,,,,,,U,,,,,O,U,,,O,,,,F,F,C,C,C,F,U,C,C,U,F,C,C,C,C,C,,C,C,C,C,C,C,
Species,SPOTTED FLYCATCHER,1988,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,2,,,,,1,,C,,,,,,,,,,,,,,,
Species,LONG-TAILED TIT,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,,,,,F8,,,
Species,COAL TIT,1988,U,U,U,U,,,O,U,U,O,U,,,,O,U,U,,,O,,,,U,O,O,O,F,F,F,U,U,U,U,F,,,,U,U,U,F,F,,U,U,U,C,C,U,
Species,BLUE TIT,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,GREAT TIT,1988,C,C,C,C,C,C,C,C,C,C,C,,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,A,A,
Species,TREE CREEPER,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,,,,,,
Species,JAY,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,MAGPIE,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,JACKDAW,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,ROOK,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,HOODED CROW,1988,C,C,C,C,C,C,C,C,C,C,C,,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,U,U,U,U,U,U,U,U,U,U,U,C,C,,C,C,C,C,F,U,
Species,STARLING,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,U,U,U,F,F,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,HOUSE SPARROW,1988,U,,,,O,,,,O,,,,,,U,F,F,,U,U,U,U,F,F,C,C,F,A,A,F50,A,A,C,U,,O,U,F30,,F,O,U,U,,,U,,C,C,,
Species,CHAFFINCH,1988,A,C,C,C,A,C,C,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,C,C,C,C,U,U,U,U,,,,U,U,F,U,U,F,C,A,A,,C,A,,A,A,A,
Species,BRAMBLING,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,GREENFINCH,1988,C,C,C,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,,A,A,A,
