Record_Type,Original_Entry,Year,03/01,10/01,17/01,24/01,31/01,07/02,14/02,21/02,28/02,06/03,13/03,20/03,27/03,NA,10/04,17/04,24/04,01/05,08/05,15/05,22/05,29/05,05/06,11/06,18/06,25/06,03/07,NA,NA,24/07,31/07,07/08,14/08,21/08,28/08,04/09,11/09,18/09,25/09,02/10,09/10,16/10,23/10,30/10,06/11,13/11,20/11,27/11,04/12,11/12,18/12,25/12,Notes
Species,Moorhen,1988,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,NA,2R,NA,2R,2R,2R,2R,2R*,2R,C,C,C,C,C,C**,A,NA,NA,A,C,A,A,A,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,"*""chicks"" & **""2nd brood"""
Species,Oystercatcher,1988,A,A,A,A,A,A,A,A*,A,A,A,NA,A,NA,A,A,A,C,A,U,O,,,,,,,NA,NA,,,,F12**,C,F25,F20,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,"*""F250"" & **""13th Aug"""
Species,Golden Plover,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Lapwing,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Snipe,1988,,,,,,,,,3,O,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,O,,,O,NA,,O,,U,,,
Species,Woodcock,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Curlew,1988,F80,,,F50,O,F12,,F30,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,O,,,,,F25,,,F30,,3,NA,,F7,,F12,U,F6,
Species,Redshank,1988,,,,,,,,,O,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,O,,,,,
Species,Black-Headed Gull,1988,A,A,A,A,A,A,A,A,A,A,A,NA,C,NA,,,,,,,,,,,F12,C,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,
Species,Common Gull,1988,,O,,O,O,U,U,,U,U,O,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,O,3,O,O,O,,U,O,,U,,,NA,,,,,U,,
Species,Lesser B-B Gull,1988,,,,,,,2,O,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,O,,,,,,,,O,,,NA,,,,,,,
Species,Herring Gull,1988,A,A,A,A,A,A,A,A,A,A,A,NA,A,NA,A,C,C,C,C,C,C,C,F,F,F,C,C,NA,NA,C,C,C,C,C,A,A,C,C,C,C,C,A,A,A,A,NA,A,A,A,A,A,A,
Species,Greater B-B Gull,1988,,,,,,,3,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,O,,O,,,,,,O,,,,,,NA,,,,,,,
Species,Town Pigeon,1988,U,U,,U,U,U,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,F,F,F,F,F,F,F,F,,,,,,O,,,NA,,,,,,,
Species,Stock Dove,1988,,,,O,U,O,,O,O,C,O,NA,C,NA,2,C,C,C,F,C,C,C,C,C,C,F,F,NA,NA,F,F,F,F,F,F,F,F,O,O,,,,,,O,NA,U,O,,,U,,
Species,Wood Pigeon,1988,A,A,A,A,A,A,A,A,A,A,A,NA,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,
Species,Collared Dove,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Cuckoo,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Long-Eared Owl,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Swfit,1988,,,,,,,,,,,,NA,,NA,,,,C,A,A,A,A,A,A,A,A,A,NA,NA,A,A,A,F,O,,,,,,,,,,,,NA,,,,,,,
Species,Kingfisher,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Skylark,1988,,,,,,,,,2,O,,NA,O,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Swallow,1988,,,,,,,,,,,,NA,,NA,,,F18,F,C,A,A,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,C,C,,,O,,,NA,,,,,,,
