Record_Type,Original_Entry,Year,NA,15/01,22/01,29/01,05/02,12/02,19/02,26/02,05/03,12/03,19/03,26/03,02/04,09/04,16/04,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,25/06,02/07,09/07,16/07,23/07,NA,NA,NA,20/08,27/08,NA,NA,17/09,24/09,31/09,07/10,15/10,22/10,29/10,05/11,12/11,19/11,26/11,03/12,10/12,17/12,24/12,31/12,Notes
Species,Coal Tit,1989,NA,U,C,C,C,F,F,C,F,C,C,F,F,F,F,U,U,U,U,U,U,U,U,U,U,U,U,U,,NA,NA,NA,U,U,NA,NA,F,U,U,U,U,U,U,U,F,F,F,F,U,U,U,U,
Species,Blue Tit,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Great Tit,1989,NA,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Tree Creeper,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,2,,,O,,,,,O,,,O,,,,
Species,Jay,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Magpie,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Rook,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,A,A,A**,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Hooded Crow,1989,NA,F,U,F,C,C,C,C,C,C,C,C,F,F,C,C,F,F,F,O,,,O,U,F,U,,,,NA,NA,NA,U,,NA,NA,C,C,U,U,,O,,U,U,F,U,U,U,A,U,C,
Species,Starling,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
